COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
1709500;TO;Gurupi;88428;>50k;
2906501;BA;Candeias;87820;>50k;
2613909;PE;Serra Talhada;87467;>50k;
4203204;SC;Camboriú;87179;>50k;
1301209;AM;Coari;86713;>50k;
1100049;RO;Cacoal;86416;>50k;
3509601;SP;Campo Limpo Paulista;86407;>50k;
1506138;PA;Redenção;86326;>50k;
4215802;SC;São Bento do Sul;86317;>50k;
4311403;RS;Lajeado;86005;>50k;
4211306;SC;Navegantes;85734;>50k;
2309706;CE;Pacatuba;85647;>50k;
3170404;MG;Unaí;85461;>50k;
2911709;BA;Guanambi;85353;>50k;
2606408;PE;Gravatá;85309;>50k;
2601102;PE;Araripina;85301;>50k;
2604007;PE;Carpina;85131;>50k;
4105508;PR;Cianorte;84980;>50k;
4118501;PR;Pato Branco;84779;>50k;
1504703;PA;Moju;84251;>50k;
2108603;MA;Pinheiro;84160;>50k;
3529302;SP;Matão;84069;>50k;
4310207;RS;Ijuí;84041;>50k;
3305554;RJ;Seropédica;83841;>50k;
2910057;BA;Dias d'Ávila;83705;>50k;
4307708;RS;Esteio;83352;>50k;
3513405;SP;Cruzeiro;82895;>50k;
2407104;RN;Macaíba;82828;>50k;
3306008;RJ;Três Rios;82468;>50k;
2311405;CE;Quixeramobim;82455;>50k;
2930501;BA;Serrinha;81693;>50k;
2301000;CE;Aquiraz;81581;>50k;
4303004;RS;Cachoeira do Sul;81552;>50k;
3556701;SP;Vinhedo;81516;>50k;
3120904;MG;Curvelo;81085;>50k;
3101607;MG;Alfenas;80973;>50k;
3136207;MG;João Monlevade;80903;>50k;
2917508;BA;Jacobina;80749;>50k;
3205101;ES;Viana;80735;>50k;
2103208;MA;Chapadinha;80705;>50k;
4127106;PR;Telêmaco Borba;80588;>50k;
3169307;MG;Três Corações;80561;>50k;
4319901;RS;Sapiranga;80514;>50k;
2606200;PE;Goiana;80345;>50k;
3519709;SP;Ibiúna;80062;>50k;
4203006;SC;Caçador;80017;>50k;
3171303;MG;Viçosa;79910;>50k;
2930105;BA;Senhor do Bonfim;79813;>50k;
2311801;CE;Russas;79550;>50k;
